0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2.4859388,2.3510413,2.258355,2.2552376,2.2406223,2.1855705,2.178028,2.1625736,2.1347513,2.121723,2.1048741,2.0487463,2.016182,2.00454,1.9992276,1.984952,1.9489113,1.9436965,1.9434239,1.9298148,1.9186519,1.9140054,1.8857986,1.8723372,1.8701416,1.8685836,1.860773,1.8576037,1.8573012,1.8502747,"['13717', '39474', '39471', '22606', '17229', '38450', '10327', '35322', '12176', '23174', '45958', '17232', '12105', '38446', '20220', '51942', '31197', '25612', '3203', '39870', '17160', '3660', '12179', '38434', '53827', '11047', '12195', '11868', '16633', '30236']"
3.3648376,3.3624828,3.2310097,3.2021277,3.1438038,3.135107,3.0285854,3.0231574,3.0191264,3.007118,2.970504,2.967182,2.9359171,2.9359171,2.926883,2.919335,2.9105608,2.880235,2.842723,2.829662,2.8188322,2.8172493,2.8050737,2.803788,2.8006458,2.8002064,2.7876391,2.7818313,2.7785053,2.7780788,"['42057', '9787', '6520', '55740', '54564', '46522', '54877', '7825', '54377', '17292', '10497', '23796', '811', '4708', '49749', '25133', '42413', '12397', '35255', '38196', '44062', '41149', '23938', '2977', '27408', '14666', '49410', '49977', '11780', '15026']"
4.3102274,2.6916876,2.672854,2.6667597,2.654449,2.6507862,2.5913045,2.5576422,2.5367618,2.4947922,2.4464211,2.4387107,2.4202812,2.409323,2.391012,2.3891149,2.3669453,2.3551161,2.346515,2.3429284,2.333172,2.3131702,2.3104281,2.3104281,2.3058307,2.3051841,2.3021963,2.2995687,2.2984045,2.2976928,"['16750', '15371', '12480', '40933', '31636', '44980', '16749', '38610', '9417', '18574', '55632', '40195', '13016', '53724', '50182', '12467', '54566', '32926', '47940', '54779', '33859', '23031', '347', '4593', '30670', '25562', '723', '5963', '55154', '4664']"
5.2439723,4.7524447,4.3052783,4.2115145,4.1813545,4.1381617,4.136595,4.101617,4.0390043,3.9440076,3.9056625,3.8464808,3.717203,3.6762288,3.582822,3.5694265,3.562068,3.544141,3.490721,3.4886153,3.4683611,3.4556708,3.4479067,3.4466643,3.4208653,3.4036765,3.3948905,3.3877945,3.373076,3.3479865,"['21753', '54901', '54905', '40282', '10676', '13505', '26723', '44238', '44244', '11661', '123', '3861', '10687', '26860', '54903', '10797', '3347', '8925', '1533', '544', '3419', '19633', '12114', '20598', '7252', '185', '10686', '6013', '44241', '146']"
3.0707445,2.4614568,2.3018692,2.2822425,2.1186352,2.06388,2.0371337,1.996907,1.9837922,1.9800183,1.9678363,1.9217945,1.917978,1.9173775,1.9018933,1.8936006,1.8719393,1.870403,1.858192,1.8530542,1.8492005,1.8438591,1.8407896,1.836822,1.8258158,1.825207,1.8249255,1.8216437,1.8125516,1.8088895,"['14531', '34622', '7434', '13470', '44096', '46698', '30045', '7112', '32895', '27686', '3621', '4003', '41705', '55046', '37436', '19026', '44784', '14164', '39045', '44975', '19458', '52127', '21629', '37450', '31826', '24767', '35055', '3275', '37265', '1517']"
8.567549,7.4818745,7.4818745,6.4537635,5.61601,5.2242217,5.2242217,5.099121,4.8783355,4.8589683,4.7000074,4.634456,4.5524597,4.5524597,4.3647504,4.3647504,4.3386617,4.329777,4.329777,4.1646595,3.9352257,3.8859134,3.8779075,3.7886436,3.7506862,3.7442596,3.7313743,3.7313743,3.692253,3.6551676,"['3156', '3157', '5113', '17364', '36285', '3158', '5114', '3165', '24548', '36020', '6438', '28710', '3160', '5115', '3162', '5117', '42760', '3161', '5116', '36017', '815', '33633', '48619', '29143', '18223', '20286', '3919', '5232', '49868', '3908']"
2.9204605,2.624266,2.2480903,2.186251,2.156338,2.1454074,2.0443919,1.9428828,1.863468,1.8166469,1.8118763,1.7919413,1.7784252,1.7654228,1.7275282,1.7222853,1.7179682,1.7095098,1.6776247,1.6731956,1.6701425,1.6445906,1.628068,1.6274432,1.6261191,1.615555,1.6084019,1.601665,1.5877692,1.581648,"['24560', '25206', '36650', '7979', '53985', '7978', '55536', '36654', '38458', '15958', '14774', '27655', '14123', '16433', '36652', '56389', '56384', '36649', '51922', '55203', '14122', '39564', '55644', '36989', '24671', '134', '38435', '56387', '13539', '9352']"
2.8178198,2.6216183,2.4665518,2.3326313,2.2939794,2.2905166,2.2831113,2.2535737,2.230358,2.2176638,2.1889756,2.1834035,2.1462245,2.1389732,2.130077,2.120725,2.091796,2.079239,2.073327,2.04156,2.0402753,2.02807,2.0167665,2.006196,1.9981265,1.995136,1.9858205,1.9795612,1.9757001,1.9701643,"['15320', '38196', '38198', '38483', '54877', '53107', '42057', '6520', '36798', '23174', '23173', '54377', '22307', '8921', '49977', '54379', '43228', '15468', '45166', '30288', '7367', '17252', '5652', '51726', '21559', '33975', '14131', '32468', '10115', '24654']"
3.5410068,3.2857537,3.243604,3.1902575,3.153637,3.0347698,3.0257697,2.9504776,2.9297686,2.9026477,2.8828359,2.7753644,2.7612932,2.7604117,2.7235112,2.709698,2.7015536,2.6888795,2.682593,2.678089,2.6752586,2.6703532,2.664596,2.6558986,2.6518846,2.6474519,2.6380196,2.636971,2.636495,2.6219585,"['46270', '35506', '20537', '30856', '9398', '22610', '14763', '42838', '52056', '13287', '32696', '30591', '24431', '45274', '50332', '35655', '5844', '53890', '11815', '47039', '47905', '50416', '37468', '50387', '38597', '56090', '25517', '28338', '9402', '55563']"
4.554165,3.6943328,2.8638344,2.772225,2.6275325,2.5052395,2.4954,2.39169,2.3797991,2.3714304,2.2680423,2.2556086,2.2407095,2.1521752,2.1496003,2.1376312,2.1362646,2.1280966,2.1033604,2.0947366,2.0930257,2.0869193,2.0857642,2.0786624,2.0710185,2.0488355,2.0476086,2.0407555,2.0399413,2.0396302,"['21968', '12829', '21969', '21971', '17317', '23173', '31975', '21973', '15320', '21970', '20987', '42383', '53786', '17151', '23174', '123', '7529', '33060', '4484', '42368', '1492', '12176', '36372', '53823', '10607', '55825', '13717', '3660', '20760', '11336']"
