0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
28.075974,21.791336,21.618034,21.564642,20.097168,19.679647,19.668936,19.36963,18.977402,18.84879,18.744522,18.725782,18.648838,18.594154,18.540297,18.089458,18.031948,17.946468,17.746223,17.6532,17.568998,17.564672,17.53394,17.498278,17.406782,17.152185,17.064972,17.057728,17.034504,17.03107,"['5953', '6706', '5978', '39471', '23174', '43271', '51998', '35322', '20220', '50002', '17879', '38446', '13717', '30236', '12176', '10712', '22606', '10327', '25612', '30892', '10919', '42547', '39870', '34643', '38450', '21600', '396', '5778', '38434', '51942']"
48.88837,46.233845,44.918926,43.494663,43.348576,43.211193,41.996445,41.180054,40.661724,40.617104,40.22442,39.54097,39.47173,39.395985,39.266476,39.238262,39.1961,39.1225,38.885582,38.879303,38.741917,38.70501,38.64203,38.13944,37.942196,37.80435,37.799774,37.79662,37.746532,37.62053,"['5540', '5953', '10919', '32861', '16698', '46710', '18391', '14791', '12397', '11321', '42484', '699', '17523', '34434', '1479', '20125', '22367', '20369', '54462', '6251', '27571', '20438', '41686', '25064', '35853', '46707', '4063', '5541', '51604', '22585']"
42.03548,40.63803,40.225388,35.481136,34.989765,33.032425,32.72888,32.343555,32.157818,32.03912,31.980816,31.73495,31.625406,31.525051,31.518402,31.487274,31.177237,31.161194,31.156593,30.959772,30.736832,30.735754,30.70206,30.696312,30.608904,30.581215,30.513563,30.471695,30.4174,30.305937,"['5953', '41686', '16750', '53598', '16169', '16064', '35918', '246', '54781', '16315', '32861', '1301', '2732', '10919', '3395', '56479', '19498', '8534', '11614', '12051', '25562', '31636', '16059', '723', '25752', '4664', '31351', '8533', '44976', '9642']"
45.964577,44.03046,39.2382,37.244064,35.14327,34.90295,34.90295,34.660904,34.60112,34.60112,33.96921,33.729256,33.30501,33.222767,33.113857,32.876038,32.761673,32.73397,32.568535,32.334587,32.08572,31.628706,31.628706,31.583118,31.150862,31.04823,31.015373,30.850897,30.794792,30.656166,"['54901', '21753', '44244', '54905', '26723', '3608', '5192', '34347', '148', '4557', '11661', '40282', '44238', '1533', '45453', '10686', '44168', '54903', '51095', '45017', '44239', '2638', '5027', '10676', '26860', '55668', '3419', '16230', '21748', '1103']"
29.430695,25.00874,24.970953,24.669584,23.216885,22.800014,22.701077,22.550268,22.456835,22.322844,22.054981,21.920372,21.631699,21.6304,21.491463,21.46335,21.358402,20.921232,20.743029,20.661674,20.61221,20.34988,20.309309,20.297832,20.217363,20.164652,20.151077,20.125607,20.06122,20.012398,"['14531', '23452', '34622', '46698', '10919', '19026', '42484', '3621', '25580', '3249', '22385', '20158', '18347', '37436', '29104', '2958', '11924', '27901', '11120', '18344', '11457', '35120', '5540', '44976', '14771', '7434', '5953', '20898', '47723', '28467']"
54.912174,54.912174,50.680664,50.680664,50.30857,50.21053,49.254456,49.254456,48.0897,47.911346,47.016296,46.68225,46.68225,46.243237,45.687798,45.687798,45.349762,44.23418,43.94161,43.68747,43.599228,42.88592,42.466045,41.938602,41.50036,41.50036,41.43101,40.8959,40.220142,39.757095,"['3157', '5113', '3160', '5115', '3156', '18391', '3161', '5116', '17364', '36285', '5953', '3158', '5114', '42760', '3164', '5119', '16698', '7116', '24548', '3165', '53949', '33628', '27901', '33629', '3162', '5117', '28710', '33633', '33634', '36020']"
29.081402,28.080208,23.508547,21.272375,21.20371,20.709332,20.667847,20.577148,20.53803,20.24735,20.178839,19.908,19.821095,19.598072,19.58502,19.58502,19.583616,19.212576,18.953674,18.905777,18.866028,18.598423,18.560505,18.530357,18.484491,18.346807,18.287712,18.185839,18.170975,18.160328,"['24560', '36650', '41686', '55536', '36654', '1222', '56013', '22462', '53985', '56384', '15016', '25206', '44436', '10177', '1211', '4790', '42749', '51922', '36540', '19442', '27839', '27901', '45933', '42987', '56389', '20067', '35144', '3993', '23584', '1583']"
30.81787,29.211012,28.69416,27.817894,27.776003,27.524,26.422634,26.414026,25.88479,25.809097,25.802704,25.668894,25.382318,25.302439,25.255835,25.250479,25.150606,25.132929,25.055193,25.041523,25.03744,24.79981,24.747576,24.659048,24.628088,24.506763,24.458946,24.324934,24.305548,24.283354,"['5540', '16698', '3706', '15468', '5953', '8389', '16169', '27901', '10919', '42684', '48145', '10554', '14791', '38483', '3613', '6296', '15320', '16230', '18391', '11321', '14129', '38198', '21961', '35853', '3702', '30288', '36078', '49312', '27404', '21906']"
39.329323,36.15927,34.484184,34.343338,34.178883,33.99219,33.688396,33.485977,33.26509,32.974983,32.757675,32.271217,32.121655,32.028637,31.850395,31.779684,31.712696,31.26418,31.195494,30.963442,30.910559,30.75397,30.714172,30.541853,30.472694,30.464165,30.41987,30.419064,30.36954,30.367027,"['35506', '155', '54459', '5953', '16523', '9398', '8385', '30326', '33222', '23432', '54463', '48147', '6240', '55124', '23575', '458', '5844', '52056', '1306', '22610', '34821', '2732', '42153', '6251', '46270', '25118', '10195', '56675', '11925', '54462']"
34.71369,29.711456,27.374107,27.080711,27.068848,26.293266,26.069817,25.16288,25.004835,24.715342,24.55877,24.52079,24.44868,24.394234,24.084805,24.080523,23.870409,23.799301,23.787039,23.660906,23.560844,23.512726,23.507387,23.507387,23.431648,23.381506,23.33918,23.305738,23.305738,23.205027,"['21968', '3706', '33992', '27901', '23548', '53786', '17317', '16169', '31975', '12287', '20438', '26380', '23443', '8390', '34292', '5953', '18391', '33920', '5540', '37366', '8389', '41686', '2476', '5013', '13428', '20760', '20987', '1279', '4798', '25671']"
